RefSeq mRNA Accession	GO - Cellular Component	Illumina ID	UniProt Accession	
NM_007395	GO:0016021 [Name: integral component of membrane]; GO:0070062 [Name: extracellular exosome]; GO:0005887 [Name: integral component of plasma membrane]; GO:0048179 [Name: activin receptor complex]; GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0009986 [Name: cell surface]; GO:0043235 [Name: receptor complex]	ILMN_2464253 [Chip: ]; ILMN_1216782 [Chip: ]; ILMN_2746036 [Chip: ]	Q3TZF1; Q61271	
NM_007396	GO:0005737 [Name: cytoplasm]; GO:0016020 [Name: membrane]; GO:0034673 [Name: inhibin-betaglycan-ActRII complex]; GO:0043235 [Name: receptor complex]; GO:0016021 [Name: integral component of membrane]; GO:0009986 [Name: cell surface]	ILMN_2617775 [Chip: ]	Q8BRV4; P27038; A2AI38	
NM_007397	GO:0005737 [Name: cytoplasm]; GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0016021 [Name: integral component of membrane]; GO:0043234 [Name: protein complex]; GO:0043235 [Name: receptor complex]	ILMN_1230145 [Chip: ]	P27040	
NM_007398	GO:0032839 [Name: dendrite cytoplasm]; GO:0009897 [Name: external side of plasma membrane]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0005886 [Name: plasma membrane]; GO:0043025 [Name: neuronal cell body]; GO:0005615 [Name: extracellular space]; GO:0005764 [Name: lysosome]; GO:0009986 [Name: cell surface]; GO:0016020 [Name: membrane]; GO:0005737 [Name: cytoplasm]; GO:0030054 [Name: cell junction]	ILMN_1228696 [Chip: ]; ILMN_2686132 [Chip: ]	P03958	
NM_007399	GO:0005634 [Name: nucleus]; GO:0005802 [Name: trans-Golgi network]; GO:0097197 [Name: tetraspanin-enriched microdomain]; GO:0016020 [Name: membrane]; GO:0005794 [Name: Golgi apparatus]; GO:0005737 [Name: cytoplasm]; GO:0009986 [Name: cell surface]; GO:0070062 [Name: extracellular exosome]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0005925 [Name: focal adhesion]; GO:0014069 [Name: postsynaptic density]; GO:0016021 [Name: integral component of membrane]; GO:0005798 [Name: Golgi-associated vesicle]; GO:0097038 [Name: perinuclear endoplasmic reticulum]	ILMN_2460257 [Chip: ]	O35598	
NM_007400	GO:0005886 [Name: plasma membrane]; GO:0005739 [Name: mitochondrion]; GO:0005654 [Name: nucleoplasm]; GO:0016020 [Name: membrane]; GO:0016021 [Name: integral component of membrane]	ILMN_1243254 [Chip: ]; ILMN_2671330 [Chip: ]	Q61824	
NM_007401	GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]	ILMN_1253632 [Chip: ]; ILMN_1253590 [Chip: ]	Q3TTE0	
NM_007402	GO:0016020 [Name: membrane]; GO:0005886 [Name: plasma membrane]; GO:0045177 [Name: apical part of cell]; GO:0016021 [Name: integral component of membrane]	ILMN_2683204 [Chip: ]	O35227	
NM_007403	GO:0070820 [Name: tertiary granule]; GO:0005886 [Name: plasma membrane]; GO:0005737 [Name: cytoplasm]; GO:0071133 [Name: alpha9-beta1 integrin-ADAM8 complex]; GO:0002102 [Name: podosome]; GO:0016020 [Name: membrane]; GO:0032010 [Name: phagolysosome]; GO:0032127 [Name: dense core granule membrane]; GO:0005887 [Name: integral component of plasma membrane]; GO:0016021 [Name: integral component of membrane]; GO:0009986 [Name: cell surface]; GO:0042581 [Name: specific granule]; GO:0071065 [Name: alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex]	ILMN_2756613 [Chip: ]; ILMN_1224005 [Chip: ]	Q05910	
NM_007404	GO:0005615 [Name: extracellular space]; GO:0031233 [Name: intrinsic component of external side of plasma membrane]; GO:0016323 [Name: basolateral plasma membrane]; GO:0070062 [Name: extracellular exosome]; GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0005925 [Name: focal adhesion]; GO:0016021 [Name: integral component of membrane]; GO:0005737 [Name: cytoplasm]; GO:0009986 [Name: cell surface]	ILMN_2649502 [Chip: ]	Q61072	
NM_007405	GO:0005929 [Name: cilium]; GO:0045121 [Name: membrane raft]; GO:0031226 [Name: intrinsic component of plasma membrane]; GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0005768 [Name: endosome]; GO:0042995 [Name: cell projection]; GO:0031528 [Name: microvillus membrane]; GO:0005886 [Name: plasma membrane]; GO:0042383 [Name: sarcolemma]	ILMN_2659879 [Chip: ]; ILMN_1249888 [Chip: ]; ILMN_2706140 [Chip: ]	Q01341	
NM_007406	GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0016021 [Name: integral component of membrane]	ILMN_2688225 [Chip: ]; ILMN_3163572 [Chip: ]	P51829	
NM_007407	GO:0016020 [Name: membrane]; GO:0005791 [Name: rough endoplasmic reticulum]; GO:0005901 [Name: caveola]; GO:0005768 [Name: endosome]; GO:0005923 [Name: bicellular tight junction]; GO:0043235 [Name: receptor complex]; GO:0005737 [Name: cytoplasm]; GO:0005886 [Name: plasma membrane]; GO:0009986 [Name: cell surface]; GO:0016021 [Name: integral component of membrane]; GO:0043005 [Name: neuron projection]	ILMN_2456845 [Chip: ]; ILMN_2717037 [Chip: ]; ILMN_2717038 [Chip: ]; ILMN_1243799 [Chip: ]; ILMN_2758957 [Chip: ]	P70205	
NM_007408	GO:0016020 [Name: membrane]; GO:0005737 [Name: cytoplasm]; GO:0005811 [Name: lipid particle]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0005886 [Name: plasma membrane]; GO:0005829 [Name: cytosol]; GO:0005634 [Name: nucleus]	ILMN_1222246 [Chip: ]	P43883; Q3U711	
NM_007409	GO:0005622 [Name: intracellular]; GO:0005737 [Name: cytoplasm]; GO:0005739 [Name: mitochondrion]; GO:0005829 [Name: cytosol]	ILMN_1258501 [Chip: ]	P00329	
NM_007410	GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]; GO:0005739 [Name: mitochondrion]; GO:0070062 [Name: extracellular exosome]	ILMN_1242178 [Chip: ]; ILMN_2852979 [Chip: ]; ILMN_1212856 [Chip: ]; ILMN_1217813 [Chip: ]	Q6P5I3; P28474	
NM_007412	GO:0016020 [Name: membrane]; GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]	ILMN_1213615 [Chip: ]; ILMN_2765378 [Chip: ]	-	
NM_007413	GO:0016020 [Name: membrane]; GO:0009986 [Name: cell surface]; GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]	ILMN_1244424 [Chip: ]	Q60614	
NM_007414	-	ILMN_2595704 [Chip: ]	P54923	
NM_007415	GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]; GO:0005730 [Name: nucleolus]; GO:0005654 [Name: nucleoplasm]; GO:0000784 [Name: nuclear chromosome, telomeric region]; GO:0005739 [Name: mitochondrion]; GO:0005635 [Name: nuclear envelope]; GO:0043234 [Name: protein complex]; GO:0005667 [Name: transcription factor complex]; GO:0016020 [Name: membrane]	ILMN_1222228 [Chip: ]; ILMN_2621385 [Chip: ]; ILMN_2971744 [Chip: ]	-	
NM_007416	GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0014704 [Name: intercalated disc]; GO:0005886 [Name: plasma membrane]; GO:0005887 [Name: integral component of plasma membrane]; GO:0030315 [Name: T-tubule]; GO:0031965 [Name: nuclear membrane]; GO:0005634 [Name: nucleus]; GO:0005829 [Name: cytosol]	ILMN_2466647 [Chip: ]; ILMN_2606414 [Chip: ]; ILMN_2606415 [Chip: ]	-	
NM_007417	GO:0043235 [Name: receptor complex]; GO:0045202 [Name: synapse]; GO:0005886 [Name: plasma membrane]; GO:0005887 [Name: integral component of plasma membrane]; GO:0005737 [Name: cytoplasm]	ILMN_1242170 [Chip: ]; ILMN_2721560 [Chip: ]	-	
NM_007418	GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0030424 [Name: axon]; GO:0005887 [Name: integral component of plasma membrane]; GO:0043679 [Name: axon terminus]; GO:0016021 [Name: integral component of membrane]; GO:0005737 [Name: cytoplasm]	ILMN_3152476 [Chip: ]; ILMN_1235741 [Chip: ]	Q01337	
NM_007419	GO:0005769 [Name: early endosome]; GO:0005737 [Name: cytoplasm]; GO:0005768 [Name: endosome]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0016021 [Name: integral component of membrane]; GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0005887 [Name: integral component of plasma membrane]; GO:0005634 [Name: nucleus]	ILMN_2457727 [Chip: ]; ILMN_2710611 [Chip: ]	P34971	
NM_007420	GO:0016020 [Name: membrane]; GO:0005737 [Name: cytoplasm]; GO:0005768 [Name: endosome]; GO:0005886 [Name: plasma membrane]; GO:0016324 [Name: apical plasma membrane]; GO:0043197 [Name: dendritic spine]; GO:0005634 [Name: nucleus]; GO:0043235 [Name: receptor complex]; GO:0005887 [Name: integral component of plasma membrane]; GO:0032809 [Name: neuronal cell body membrane]; GO:0005901 [Name: caveola]; GO:0030424 [Name: axon]; GO:0030425 [Name: dendrite]; GO:0042383 [Name: sarcolemma]; GO:0016021 [Name: integral component of membrane]; GO:0043231 [Name: intracellular membrane-bounded organelle]	ILMN_1241610 [Chip: ]	P18762	
NM_007421	GO:0016020 [Name: membrane]; GO:0005737 [Name: cytoplasm]	ILMN_2711688 [Chip: ]; ILMN_2958099 [Chip: ]; ILMN_1245079 [Chip: ]	Q3UBP0; P28650	
NM_007422	GO:0005886 [Name: plasma membrane]; GO:0005737 [Name: cytoplasm]; GO:0070062 [Name: extracellular exosome]	ILMN_2629543 [Chip: ]; ILMN_2957614 [Chip: ]; ILMN_1251260 [Chip: ]	B9EIE9; P46664	
NM_007423	GO:0005615 [Name: extracellular space]; GO:0005737 [Name: cytoplasm]; GO:0005576 [Name: extracellular region]	ILMN_1245472 [Chip: ]	P02772	
NM_007424	GO:0005604 [Name: basement membrane]; GO:0005576 [Name: extracellular region]; GO:0005578 [Name: proteinaceous extracellular matrix]; GO:0072534 [Name: perineuronal net]	ILMN_2639818 [Chip: ]; ILMN_2645654 [Chip: ]	Q61282	
NM_007425	GO:0005886 [Name: plasma membrane]; GO:0005576 [Name: extracellular region]; GO:0030424 [Name: axon]; GO:0009897 [Name: external side of plasma membrane]; GO:0043025 [Name: neuronal cell body]; GO:0016020 [Name: membrane]; GO:0005829 [Name: cytosol]; GO:0005615 [Name: extracellular space]; GO:0005634 [Name: nucleus]; GO:0009925 [Name: basal plasma membrane]; GO:0005737 [Name: cytoplasm]; GO:0009986 [Name: cell surface]; GO:0016021 [Name: integral component of membrane]	ILMN_1239451 [Chip: ]; ILMN_1224092 [Chip: ]	-	
NM_007426	GO:0005634 [Name: nucleus]; GO:0042995 [Name: cell projection]; GO:0005886 [Name: plasma membrane]; GO:0005615 [Name: extracellular space]; GO:0005576 [Name: extracellular region]	ILMN_2642165 [Chip: ]; ILMN_1234487 [Chip: ]	O35608	
NM_007427	GO:0005615 [Name: extracellular space]; GO:0070062 [Name: extracellular exosome]; GO:0043025 [Name: neuronal cell body]; GO:0005576 [Name: extracellular region]; GO:0005794 [Name: Golgi apparatus]; GO:0005796 [Name: Golgi lumen]	ILMN_2703427 [Chip: ]	P56473	
NM_007428	GO:0070062 [Name: extracellular exosome]; GO:0072562 [Name: blood microparticle]; GO:0005615 [Name: extracellular space]; GO:0005737 [Name: cytoplasm]	ILMN_1227398 [Chip: ]	-	
NM_007429	GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0005886 [Name: plasma membrane]	ILMN_2680635 [Chip: ]	P35374	
NM_007430	GO:0016020 [Name: membrane]; GO:0005737 [Name: cytoplasm]; GO:0005634 [Name: nucleus]; GO:0005654 [Name: nucleoplasm]; GO:0042788 [Name: polysomal ribosome]	ILMN_2615796 [Chip: ]	Q61066	
NM_007431	GO:0005886 [Name: plasma membrane]; GO:0065010 [Name: extracellular membrane-bounded organelle]; GO:0016020 [Name: membrane]; GO:0005578 [Name: proteinaceous extracellular matrix]; GO:0005615 [Name: extracellular space]; GO:0031225 [Name: anchored component of membrane]; GO:0070062 [Name: extracellular exosome]	ILMN_2661287 [Chip: ]	P09242; Q3TQ02	
NM_007432	GO:0009897 [Name: external side of plasma membrane]	ILMN_2698889 [Chip: ]	F8VQM0; Q1LZM2	
NM_007433	GO:0030016 [Name: myofibril]; GO:0016020 [Name: membrane]; GO:0005886 [Name: plasma membrane]; GO:0031225 [Name: anchored component of membrane]	ILMN_2666607 [Chip: ]	Q7TPW4; P24823	
NM_007434	GO:0005634 [Name: nucleus]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0005938 [Name: cell cortex]; GO:0005829 [Name: cytosol]; GO:0031982 [Name: vesicle]; GO:0016020 [Name: membrane]; GO:0032587 [Name: ruffle membrane]; GO:0032593 [Name: insulin-responsive compartment]; GO:0005886 [Name: plasma membrane]; GO:0005737 [Name: cytoplasm]	ILMN_1251040 [Chip: ]; ILMN_1218595 [Chip: ]	Q60823	
NM_007435	GO:0005739 [Name: mitochondrion]; GO:0005777 [Name: peroxisome]; GO:0016020 [Name: membrane]; GO:0005778 [Name: peroxisomal membrane]; GO:0016021 [Name: integral component of membrane]; GO:0005737 [Name: cytoplasm]; GO:0005779 [Name: integral component of peroxisomal membrane]; GO:0048471 [Name: perinuclear region of cytoplasm]	ILMN_1245447 [Chip: ]	P48410	
NM_007436	GO:0005783 [Name: endoplasmic reticulum]; GO:0005615 [Name: extracellular space]; GO:0005737 [Name: cytoplasm]; GO:0005654 [Name: nucleoplasm]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0016021 [Name: integral component of membrane]; GO:0005886 [Name: plasma membrane]; GO:0005829 [Name: cytosol]	ILMN_1253178 [Chip: ]	P47739; Q3UNF5	
NM_007437	GO:0016020 [Name: membrane]; GO:0005783 [Name: endoplasmic reticulum]; GO:0005777 [Name: peroxisome]; GO:0005634 [Name: nucleus]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0042406 [Name: extrinsic component of endoplasmic reticulum membrane]; GO:0070062 [Name: extracellular exosome]; GO:0005829 [Name: cytosol]; GO:0005739 [Name: mitochondrion]; GO:0016021 [Name: integral component of membrane]; GO:0005743 [Name: mitochondrial inner membrane]	ILMN_2584281 [Chip: ]; ILMN_1258695 [Chip: ]; ILMN_2456946 [Chip: ]; ILMN_2456947 [Chip: ]	P47740; B1AV77	
NM_007438	GO:0035686 [Name: sperm fibrous sheath]; GO:0016020 [Name: membrane]; GO:0005634 [Name: nucleus]; GO:0070062 [Name: extracellular exosome]; GO:0005737 [Name: cytoplasm]; GO:0005739 [Name: mitochondrion]; GO:0015629 [Name: actin cytoskeleton]; GO:0005615 [Name: extracellular space]	ILMN_2599130 [Chip: ]	P05064; A6ZI44; Q5FWB7	
NM_007439	GO:0043234 [Name: protein complex]; GO:0030424 [Name: axon]; GO:0016020 [Name: membrane]; GO:0044297 [Name: cell body]; GO:0005887 [Name: integral component of plasma membrane]; GO:0070062 [Name: extracellular exosome]; GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]	ILMN_2769925 [Chip: ]	P97793	
NM_007440	GO:0042383 [Name: sarcolemma]; GO:0016020 [Name: membrane]; GO:0005737 [Name: cytoplasm]; GO:0070062 [Name: extracellular exosome]; GO:0005829 [Name: cytosol]	ILMN_2613908 [Chip: ]; ILMN_2827535 [Chip: ]; ILMN_2587600 [Chip: ]	P39655	
NM_007441	GO:0005634 [Name: nucleus]	ILMN_2763355 [Chip: ]; ILMN_3128478 [Chip: ]; ILMN_3052026 [Chip: ]; ILMN_1255793 [Chip: ]	O70137	
NM_007442	GO:0005634 [Name: nucleus]; GO:0005667 [Name: transcription factor complex]	ILMN_2487824 [Chip: ]; ILMN_2904175 [Chip: ]	O35137	
NM_007443	GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0009986 [Name: cell surface]; GO:0072562 [Name: blood microparticle]; GO:0005615 [Name: extracellular space]; GO:0005576 [Name: extracellular region]; GO:0005886 [Name: plasma membrane]; GO:0070062 [Name: extracellular exosome]	ILMN_2904137 [Chip: ]	Q07456	
NM_007444	GO:0005829 [Name: cytosol]	ILMN_1249590 [Chip: ]	D3Z6H8	
NM_007445	GO:0005615 [Name: extracellular space]; GO:0005737 [Name: cytoplasm]	ILMN_2768691 [Chip: ]	-	
NM_007446	GO:0070062 [Name: extracellular exosome]; GO:0005615 [Name: extracellular space]; GO:0005576 [Name: extracellular region]	ILMN_1231756 [Chip: ]; ILMN_3000818 [Chip: ]; ILMN_2626453 [Chip: ]	P00687	
NM_007447	GO:0005604 [Name: basement membrane]; GO:0005615 [Name: extracellular space]; GO:0043025 [Name: neuronal cell body]; GO:0032311 [Name: angiogenin-PRI complex]; GO:0005605 [Name: basal lamina]; GO:0005634 [Name: nucleus]; GO:0070062 [Name: extracellular exosome]; GO:0030426 [Name: growth cone]; GO:0005576 [Name: extracellular region]; GO:0005578 [Name: proteinaceous extracellular matrix]	ILMN_2683113 [Chip: ]; ILMN_2773844 [Chip: ]; ILMN_2875251 [Chip: ]; ILMN_1238394 [Chip: ]; ILMN_2644504 [Chip: ]	P21570	
NM_007448	GO:0005575 [Name: cellular_component]	ILMN_2769355 [Chip: ]	-	
NM_007449	GO:0005576 [Name: extracellular region]; GO:0005578 [Name: proteinaceous extracellular matrix]; GO:0005604 [Name: basement membrane]; GO:0005623 [Name: cell]; GO:0005634 [Name: nucleus]	ILMN_2776242 [Chip: ]	Q64438	
NM_007451	GO:0070062 [Name: extracellular exosome]; GO:0005634 [Name: nucleus]; GO:0005743 [Name: mitochondrial inner membrane]; GO:0071817 [Name: MMXD complex]; GO:0043209 [Name: myelin sheath]; GO:0005739 [Name: mitochondrion]; GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0042645 [Name: mitochondrial nucleoid]	ILMN_2660099 [Chip: ]	P51881	
NM_007452	GO:0005737 [Name: cytoplasm]; GO:0008385 [Name: IkappaB kinase complex]; GO:0043209 [Name: myelin sheath]; GO:0070062 [Name: extracellular exosome]; GO:0005739 [Name: mitochondrion]; GO:0005829 [Name: cytosol]; GO:0005769 [Name: early endosome]	ILMN_2732229 [Chip: ]; ILMN_2732231 [Chip: ]	P20108	
NM_007453	GO:0016020 [Name: membrane]; GO:0070062 [Name: extracellular exosome]; GO:0005764 [Name: lysosome]; GO:0005829 [Name: cytosol]; GO:0005737 [Name: cytoplasm]; GO:0005739 [Name: mitochondrion]; GO:0005615 [Name: extracellular space]; GO:0031410 [Name: cytoplasmic vesicle]	ILMN_2623951 [Chip: ]; ILMN_1217404 [Chip: ]; ILMN_2623947 [Chip: ]; ILMN_1224056 [Chip: ]	O08709	
NM_007454	GO:0016020 [Name: membrane]; GO:0030131 [Name: clathrin adaptor complex]; GO:0005794 [Name: Golgi apparatus]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0005802 [Name: trans-Golgi network]; GO:0030117 [Name: membrane coat]	ILMN_2778238 [Chip: ]; ILMN_1244906 [Chip: ]	Q8CC13; O35643	
NM_007455	GO:0016020 [Name: membrane]; GO:0005794 [Name: Golgi apparatus]; GO:0005802 [Name: trans-Golgi network]; GO:0030117 [Name: membrane coat]; GO:0030131 [Name: clathrin adaptor complex]; GO:0005798 [Name: Golgi-associated vesicle]; GO:0030133 [Name: transport vesicle]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0005768 [Name: endosome]	ILMN_1246903 [Chip: ]; ILMN_2716336 [Chip: ]; ILMN_2435196 [Chip: ]	O88512	
NM_007456	GO:0016020 [Name: membrane]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0005794 [Name: Golgi apparatus]; GO:0030131 [Name: clathrin adaptor complex]; GO:0005802 [Name: trans-Golgi network]; GO:0070062 [Name: extracellular exosome]	ILMN_2770926 [Chip: ]; ILMN_2984647 [Chip: ]	P35585	
NM_007457	GO:0005794 [Name: Golgi apparatus]; GO:0030121 [Name: AP-1 adaptor complex]; GO:0005905 [Name: coated pit]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0005802 [Name: trans-Golgi network]; GO:0043195 [Name: terminal bouton]; GO:0016020 [Name: membrane]; GO:0030117 [Name: membrane coat]; GO:0070062 [Name: extracellular exosome]	ILMN_2748777 [Chip: ]; ILMN_2634108 [Chip: ]; ILMN_1215903 [Chip: ]	P61967	
NM_007458	GO:0030131 [Name: clathrin adaptor complex]; GO:0032433 [Name: filopodium tip]; GO:0005886 [Name: plasma membrane]; GO:0030141 [Name: secretory granule]; GO:0005905 [Name: coated pit]; GO:0030117 [Name: membrane coat]; GO:0016323 [Name: basolateral plasma membrane]; GO:0043234 [Name: protein complex]; GO:0016324 [Name: apical plasma membrane]; GO:0016020 [Name: membrane]	ILMN_3143246 [Chip: ]; ILMN_2604688 [Chip: ]	P17426	
NM_007459	GO:0005905 [Name: coated pit]; GO:0030131 [Name: clathrin adaptor complex]; GO:0005886 [Name: plasma membrane]; GO:0030141 [Name: secretory granule]; GO:0016023 [Name: cytoplasmic membrane-bounded vesicle]; GO:0030117 [Name: membrane coat]; GO:0016020 [Name: membrane]	ILMN_1237891 [Chip: ]	P17427	
NM_007460	GO:0005654 [Name: nucleoplasm]; GO:0005802 [Name: trans-Golgi network]; GO:0005765 [Name: lysosomal membrane]; GO:0010008 [Name: endosome membrane]; GO:0005737 [Name: cytoplasm]; GO:0030117 [Name: membrane coat]; GO:0016020 [Name: membrane]; GO:0005794 [Name: Golgi apparatus]; GO:0043195 [Name: terminal bouton]; GO:0030424 [Name: axon]	ILMN_2953301 [Chip: ]; ILMN_2624740 [Chip: ]	O54774	
NM_007461	GO:0005886 [Name: plasma membrane]; GO:0008021 [Name: synaptic vesicle]	ILMN_2846507 [Chip: ]; ILMN_1244923 [Chip: ]	P98084	
NM_007462	GO:0016020 [Name: membrane]; GO:0030424 [Name: axon]; GO:0070852 [Name: cell body fiber]; GO:0005813 [Name: centrosome]; GO:0016342 [Name: catenin complex]; GO:0030027 [Name: lamellipodium]; GO:0030425 [Name: dendrite]; GO:0031965 [Name: nuclear membrane]; GO:0005886 [Name: plasma membrane]; GO:0005856 [Name: cytoskeleton]; GO:0005874 [Name: microtubule]; GO:0034750 [Name: Scrib-APC-beta-catenin complex]; GO:0005737 [Name: cytoplasm]; GO:0044306 [Name: neuron projection terminus]; GO:0045202 [Name: synapse]; GO:0016328 [Name: lateral plasma membrane]; GO:0005881 [Name: cytoplasmic microtubule]; GO:0043005 [Name: neuron projection]; GO:0030877 [Name: beta-catenin destruction complex]; GO:0031253 [Name: cell projection membrane]; GO:0035371 [Name: microtubule plus-end]; GO:0043025 [Name: neuronal cell body]; GO:0043234 [Name: protein complex]; GO:0005634 [Name: nucleus]; GO:0005923 [Name: bicellular tight junction]; GO:0005938 [Name: cell cortex]; GO:0030054 [Name: cell junction]; GO:0030426 [Name: growth cone]; GO:0042995 [Name: cell projection]; GO:0000776 [Name: kinetochore]; GO:0005913 [Name: cell-cell adherens junction]; GO:0032587 [Name: ruffle membrane]; GO:0044295 [Name: axonal growth cone]	ILMN_2655204 [Chip: ]; ILMN_2650013 [Chip: ]; ILMN_2517158 [Chip: ]; ILMN_1225585 [Chip: ]; ILMN_1219751 [Chip: ]	-	
NM_007463	GO:0005634 [Name: nucleus]	ILMN_2765843 [Chip: ]	Q62407	
NM_007464	GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]; GO:0045121 [Name: membrane raft]; GO:0043234 [Name: protein complex]; GO:0005654 [Name: nucleoplasm]	ILMN_1247999 [Chip: ]	O08863	
NM_007465	GO:0001741 [Name: XY body]; GO:0035631 [Name: CD40 receptor complex]; GO:0043234 [Name: protein complex]; GO:0045121 [Name: membrane raft]; GO:0009898 [Name: cytoplasmic side of plasma membrane]; GO:0005634 [Name: nucleus]	ILMN_1226186 [Chip: ]; ILMN_2741621 [Chip: ]; ILMN_2990616 [Chip: ]; ILMN_2422023 [Chip: ]	Q62210	
